DATE_TIME,current_contract,next_contract,carry_contract
2022-12-23 00:00:00,20250900,20251200,20250600
2023-03-24 00:00:00,20251200,20260300,20250900
2023-06-23 00:00:00,20260300,20260600,20251200
2023-09-22 00:00:00,20260600,20260900,20260300
2023-12-25 23:00:00,20260900,20261200,20260600
2024-03-24 22:00:00,20261200,20270300,20260900
2024-06-21 00:00:00,20270300,20270600,20261200
2024-09-22 22:00:00,20270600,20270900,20270300
2024-12-23 00:00:00,20270900,20271200,20270600
2025-03-24 00:00:00,20271200,20280300,20270900
2025-06-23 00:00:00,20280300,20280600,20271200
2025-09-23 13:30:00,20280600,20280900,20280300
2025-12-24 14:30:00,20280900,20281200,20280600
