DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2022-07-29 23:00:00,2.8652,20221000,3.1132,20220900,2.8652,20221000
2022-08-01 23:00:00,2.743,20221000,2.9981,20220900,2.743,20221000
2022-08-02 23:00:00,2.7826,20221000,3.0567,20220900,2.7826,20221000
2022-08-03 23:00:00,2.6644,20221000,2.9122,20220900,2.6644,20221000
2022-08-04 23:00:00,2.5631,20221000,2.7935,20220900,2.5631,20221000
2022-08-05 23:00:00,2.6028,20221000,2.8556,20220900,2.6028,20221000
2022-08-08 23:00:00,2.6497,20221000,2.8862,20220900,2.6497,20221000
2022-08-09 23:00:00,2.7075,20221000,2.9602,20220900,2.7075,20221000
2022-08-10 23:00:00,2.7945,20221000,3.0703,20220900,2.7945,20221000
2022-08-11 23:00:00,2.8067,20221000,3.0715,20220900,2.8067,20221000
2022-08-12 23:00:00,2.7817,20221000,3.046,20220900,2.7817,20221000
2022-08-15 23:00:00,2.7101,20221000,2.9517,20220900,2.7101,20221000
2022-08-16 23:00:00,2.6603,20221000,2.9007,20220900,2.6603,20221000
2022-08-17 23:00:00,2.7117,20221000,2.9345,20220900,2.7117,20221000
2022-08-18 23:00:00,2.7884,20221000,3.0261,20220900,2.7884,20221000
2022-08-19 23:00:00,2.7889,20221000,3.0175,20220900,2.7889,20221000
2022-08-22 23:00:00,2.6822,20221000,2.8912,20220900,2.6822,20221000
2022-08-23 23:00:00,2.7463,20221000,2.933,20220900,2.7463,20221000
2022-08-24 23:00:00,2.647,20221000,2.8007,20220900,2.647,20221000
2022-08-25 23:00:00,2.6524,20221000,2.8121,20220900,2.6524,20221000
2022-08-26 23:00:00,2.6774,20221000,2.8513,20220900,2.6774,20221000
2022-08-29 23:00:00,2.7161,20221000,2.8776,20220900,2.7161,20221000
2022-08-30 23:00:00,2.5303,20221000,2.6944,20220900,2.5303,20221000
2022-08-31 23:00:00,2.3879,20221100,2.4308,20221000,2.3879,20221100
2022-09-01 23:00:00,2.3377,20221100,2.3853,20221000,2.3377,20221100
2022-09-02 23:00:00,2.4059,20221100,2.4636,20221000,2.4059,20221100
2022-09-05 23:00:00,2.445,20221100,2.5021,20221000,2.445,20221100
2022-09-06 23:00:00,2.368,20221100,2.4159,20221000,2.368,20221100
2022-09-07 23:00:00,2.267,20221100,2.3077,20221000,2.267,20221100
2022-09-08 23:00:00,2.3077,20221100,2.3461,20221000,2.3077,20221100
2022-09-09 23:00:00,2.3938,20221100,2.4331,20221000,2.3938,20221100
2022-09-12 23:00:00,2.4097,20221100,2.4448,20221000,2.4097,20221100
2022-09-13 23:00:00,2.437,20221100,2.4804,20221000,2.437,20221100
2022-09-14 23:00:00,2.4783,20221100,2.5245,20221000,2.4783,20221100
2022-09-15 23:00:00,2.3848,20221100,2.4287,20221000,2.3848,20221100
2022-09-16 23:00:00,2.3753,20221100,2.4157,20221000,2.3753,20221100
2022-09-19 23:00:00,2.4151,20221100,2.4641,20221000,2.4151,20221100
2022-09-20 23:00:00,2.3925,20221100,2.4478,20221000,2.3925,20221100
2022-09-21 23:00:00,2.4124,20221100,2.4865,20221000,2.4124,20221100
2022-09-22 23:00:00,2.4316,20221100,2.5157,20221000,2.4316,20221100
2022-09-23 23:00:00,2.3081,20221100,2.383,20221000,2.3081,20221100
2022-09-26 23:00:00,2.2888,20221100,2.3842,20221000,2.2888,20221100
2022-09-27 23:00:00,2.3727,20221100,2.4931,20221000,2.3727,20221100
2022-09-28 23:00:00,2.4617,20221100,2.5779,20221000,2.4617,20221100
2022-09-29 23:00:00,2.4027,20221100,2.5076,20221000,2.4027,20221100
2022-09-30 23:00:00,2.2789,20221200,2.3698,20221100,2.2789,20221200
2022-10-03 23:00:00,2.3932,20221200,2.5129,20221100,2.3932,20221200
