DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2024-03-14 23:00:00,145.24,144.72,144.72,20240600,20240900,20240900
2024-03-15 23:00:00,145.1,144.6,144.6,20240600,20240900,20240900
2024-03-18 23:00:00,145.43,144.94,144.94,20240600,20240900,20240900
2024-03-19 23:00:00,145.68,145.19,145.19,20240600,20240900,20240900
2024-03-20 23:00:00,145.68,,,20240600,20240900,20240900
2024-03-21 23:00:00,145.41,145.0,145.0,20240600,20240900,20240900
2024-03-22 23:00:00,145.41,144.97,144.97,20240600,20240900,20240900
2024-03-25 23:00:00,145.56,145.12,145.12,20240600,20240900,20240900
2024-03-26 23:00:00,145.5,145.05,145.05,20240600,20240900,20240900
2024-03-27 23:00:00,145.74,145.25,145.25,20240600,20240900,20240900
2024-03-28 23:00:00,145.88,145.42,145.42,20240600,20240900,20240900
2024-03-29 23:00:00,145.67,145.21,145.21,20240600,20240900,20240900
2024-04-01 23:00:00,145.55,145.13,145.13,20240600,20240900,20240900
2024-04-02 23:00:00,145.46,145.03,145.03,20240600,20240900,20240900
2024-04-03 23:00:00,145.47,145.0,145.0,20240600,20240900,20240900
2024-04-04 23:00:00,145.33,144.86,144.86,20240600,20240900,20240900
2024-04-05 23:00:00,145.38,144.91,144.91,20240600,20240900,20240900
2024-04-08 23:00:00,145.22,144.74,144.74,20240600,20240900,20240900
2024-04-09 23:00:00,145.25,144.82,144.82,20240600,20240900,20240900
2024-04-10 23:00:00,145.12,144.7,144.7,20240600,20240900,20240900
2024-04-11 23:00:00,144.53,144.09,144.09,20240600,20240900,20240900
2024-04-12 23:00:00,144.35,143.91,143.91,20240600,20240900,20240900
2024-04-15 23:00:00,144.41,143.94,143.94,20240600,20240900,20240900
2024-04-16 23:00:00,144.32,143.87,143.87,20240600,20240900,20240900
2024-04-17 23:00:00,144.11,143.62,143.62,20240600,20240900,20240900
2024-04-18 23:00:00,144.41,143.92,143.92,20240600,20240900,20240900
2024-04-19 23:00:00,144.67,144.2,144.2,20240600,20240900,20240900
2024-04-22 23:00:00,144.22,143.76,143.76,20240600,20240900,20240900
2024-04-23 23:00:00,144.23,143.76,143.76,20240600,20240900,20240900
2024-04-24 23:00:00,144.21,143.74,143.74,20240600,20240900,20240900
2024-04-25 23:00:00,144.15,143.63,143.63,20240600,20240900,20240900
2024-04-26 23:00:00,143.93,143.35,143.35,20240600,20240900,20240900
2024-04-30 23:00:00,144.5,143.91,143.91,20240600,20240900,20240900
2024-05-01 23:00:00,144.31,143.71,143.71,20240600,20240900,20240900
2024-05-02 23:00:00,144.29,143.7,143.7,20240600,20240900,20240900
2024-05-03 23:00:00,144.29,,,20240600,20240900,20240900
