DATETIME,CARRY,CARRY_CONTRACT,PRICE,PRICE_CONTRACT,FORWARD,FORWARD_CONTRACT
2024-03-14 23:00:00,,20240900,1.142,20240600,,20240900
2024-03-15 00:00:00,,20240900,1.1417,20240600,,20240900
2024-03-15 01:00:00,,20240900,1.1414,20240600,,20240900
2024-03-15 02:00:00,,20240900,1.141,20240600,,20240900
2024-03-15 03:00:00,,20240900,1.1415,20240600,,20240900
2024-03-15 04:00:00,,20240900,1.1413,20240600,,20240900
2024-03-15 05:00:00,1.1536,20240900,1.1412,20240600,1.1536,20240900
2024-03-15 06:00:00,,20240900,1.1415,20240600,,20240900
2024-03-15 07:00:00,,20240900,1.141,20240600,,20240900
2024-03-15 08:00:00,,20240900,1.1418,20240600,,20240900
2024-03-15 09:00:00,,20240900,1.1437,20240600,,20240900
2024-03-15 10:00:00,,20240900,1.1428,20240600,,20240900
2024-03-15 11:00:00,,20240900,1.1449,20240600,,20240900
2024-03-15 12:00:00,,20240900,1.1442,20240600,,20240900
2024-03-15 13:00:00,,20240900,1.1439,20240600,,20240900
2024-03-15 14:00:00,,20240900,1.1437,20240600,,20240900
2024-03-15 15:00:00,,20240900,1.1428,20240600,,20240900
2024-03-15 16:00:00,,20240900,1.1423,20240600,,20240900
2024-03-15 17:00:00,,20240900,1.1422,20240600,,20240900
2024-03-15 18:00:00,,20240900,1.1427,20240600,,20240900
2024-03-15 19:00:00,,20240900,1.1427,20240600,,20240900
2024-03-15 20:00:00,,20240900,1.1428,20240600,,20240900
2024-03-17 22:00:00,,20240900,1.1429,20240600,,20240900
2024-03-17 23:00:00,,20240900,1.1429,20240600,,20240900
2024-03-18 00:00:00,,20240900,1.1428,20240600,,20240900
2024-03-18 01:00:00,,20240900,1.1424,20240600,,20240900
2024-03-18 02:00:00,,20240900,1.1434,20240600,,20240900
2024-03-18 03:00:00,,20240900,1.1433,20240600,,20240900
2024-03-18 04:00:00,,20240900,1.1431,20240600,,20240900
2024-03-18 05:00:00,1.1481,20240900,1.137,20240600,1.1481,20240900
2024-03-18 06:00:00,,20240900,1.1427,20240600,,20240900
2024-03-18 07:00:00,,20240900,1.142,20240600,,20240900
2024-03-18 08:00:00,,20240900,1.1428,20240600,,20240900
2024-03-18 09:00:00,,20240900,1.1428,20240600,,20240900
2024-03-18 10:00:00,,20240900,1.1429,20240600,,20240900
2024-03-18 11:00:00,,20240900,1.1441,20240600,,20240900
2024-03-18 12:00:00,,20240900,1.1426,20240600,,20240900
2024-03-18 13:00:00,,20240900,1.1411,20240600,,20240900
2024-03-18 14:00:00,,20240900,1.1397,20240600,,20240900
2024-03-18 15:00:00,,20240900,1.1391,20240600,,20240900
2024-03-18 16:00:00,,20240900,1.1387,20240600,,20240900
2024-03-18 17:00:00,,20240900,1.1369,20240600,,20240900
2024-03-18 18:00:00,,20240900,1.137,20240600,,20240900
2024-03-18 19:00:00,,20240900,1.1367,20240600,,20240900
2024-03-18 20:00:00,,20240900,1.1372,20240600,,20240900
2024-03-18 22:00:00,,20240900,1.1377,20240600,,20240900
2024-03-18 23:00:00,,20240900,1.1375,20240600,,20240900
2024-03-19 00:00:00,,20240900,1.1367,20240600,,20240900
2024-03-19 01:00:00,,20240900,1.1362,20240600,,20240900
2024-03-19 02:00:00,,20240900,1.1366,20240600,,20240900
2024-03-19 03:00:00,,20240900,1.1365,20240600,,20240900
2024-03-19 04:00:00,,20240900,1.1371,20240600,,20240900
2024-03-19 05:00:00,1.1479,20240900,1.1369,20240600,1.1479,20240900
2024-03-19 06:00:00,,20240900,1.1357,20240600,,20240900
2024-03-19 07:00:00,,20240900,1.1351,20240600,,20240900
2024-03-19 08:00:00,,20240900,1.1381,20240600,,20240900
2024-03-19 09:00:00,,20240900,1.137,20240600,,20240900
2024-03-19 10:00:00,,20240900,1.1352,20240600,,20240900
2024-03-19 11:00:00,,20240900,1.1375,20240600,,20240900
2024-03-19 12:00:00,,20240900,1.1379,20240600,,20240900
2024-03-19 13:00:00,,20240900,1.1368,20240600,,20240900
2024-03-19 14:00:00,,20240900,1.1373,20240600,,20240900
2024-03-19 15:00:00,,20240900,1.1364,20240600,,20240900
2024-03-19 16:00:00,,20240900,1.1371,20240600,,20240900
2024-03-19 17:00:00,,20240900,1.1368,20240600,,20240900
2024-03-19 18:00:00,,20240900,1.1369,20240600,,20240900
2024-03-19 19:00:00,,20240900,1.1368,20240600,,20240900
2024-03-19 20:00:00,,20240900,1.1369,20240600,,20240900
2024-03-19 23:00:00,,20240900,1.1363,20240600,,20240900
2024-03-20 00:00:00,,20240900,1.1358,20240600,,20240900
2024-03-20 01:00:00,,20240900,1.1356,20240600,,20240900
2024-03-20 02:00:00,,20240900,1.1357,20240600,,20240900
2024-03-20 03:00:00,,20240900,1.1363,20240600,,20240900
2024-03-20 04:00:00,,20240900,1.1354,20240600,,20240900
2024-03-20 05:00:00,1.15,20240900,1.1352,20240600,1.15,20240900
2024-03-20 06:00:00,,20240900,1.1354,20240600,,20240900
2024-03-20 07:00:00,,20240900,1.1349,20240600,,20240900
2024-03-20 08:00:00,,20240900,1.1342,20240600,,20240900
2024-03-20 09:00:00,,20240900,1.133,20240600,,20240900
2024-03-20 10:00:00,,20240900,1.1329,20240600,,20240900
2024-03-20 11:00:00,,20240900,1.1335,20240600,,20240900
2024-03-20 12:00:00,,20240900,1.1336,20240600,,20240900
2024-03-20 13:00:00,,20240900,1.1328,20240600,,20240900
2024-03-20 14:00:00,,20240900,1.1335,20240600,,20240900
2024-03-20 15:00:00,,20240900,1.1328,20240600,,20240900
2024-03-20 16:00:00,,20240900,1.1336,20240600,,20240900
2024-03-20 17:00:00,,20240900,1.1325,20240600,,20240900
2024-03-20 18:00:00,,20240900,1.1391,20240600,,20240900
2024-03-20 19:00:00,,20240900,1.1392,20240600,,20240900
2024-03-20 20:00:00,,20240900,1.1384,20240600,,20240900
2024-03-20 22:00:00,,20240900,1.1387,20240600,,20240900
2024-03-20 23:00:00,,20240900,1.1399,20240600,,20240900
2024-03-21 00:00:00,1.152,20240900,1.1401,20240600,1.152,20240900
2024-03-21 01:00:00,,20240900,1.1414,20240600,,20240900
2024-03-21 02:00:00,,20240900,1.1406,20240600,,20240900
2024-03-21 03:00:00,,20240900,1.1402,20240600,,20240900
2024-03-21 04:00:00,,20240900,1.14,20240600,,20240900
2024-03-21 05:00:00,1.1355,20240900,1.1242,20240600,1.1355,20240900
2024-03-21 06:00:00,,20240900,1.14,20240600,,20240900
2024-03-21 07:00:00,,20240900,1.1401,20240600,,20240900
2024-03-21 08:00:00,,20240900,1.1285,20240600,,20240900
2024-03-21 09:00:00,1.141,20240900,1.1287,20240600,1.141,20240900
2024-03-21 10:00:00,,20240900,1.1308,20240600,,20240900
2024-03-21 11:00:00,,20240900,1.1305,20240600,,20240900
2024-03-21 12:00:00,1.141,20240900,1.1285,20240600,1.141,20240900
2024-03-21 13:00:00,,20240900,1.1245,20240600,,20240900
2024-03-21 14:00:00,,20240900,1.1241,20240600,,20240900
2024-03-21 15:00:00,,20240900,1.1226,20240600,,20240900
2024-03-21 16:00:00,,20240900,1.1236,20240600,,20240900
2024-03-21 17:00:00,,20240900,1.1234,20240600,,20240900
2024-03-21 18:00:00,,20240900,1.1243,20240600,,20240900
2024-03-21 19:00:00,,20240900,1.1242,20240600,,20240900
2024-03-21 20:00:00,,20240900,1.125,20240600,,20240900
2024-03-21 22:00:00,,20240900,1.1245,20240600,,20240900
2024-03-21 23:00:00,,20240900,1.1245,20240600,,20240900
2024-03-22 00:00:00,1.1365,20240900,1.1253,20240600,1.1365,20240900
2024-03-22 01:00:00,,20240900,1.1229,20240600,,20240900
2024-03-22 02:00:00,,20240900,1.1227,20240600,,20240900
2024-03-22 04:00:00,,20240900,1.1226,20240600,,20240900
2024-03-22 05:00:00,1.1344,20240900,1.1239,20240600,1.1344,20240900
2024-03-22 06:00:00,,20240900,1.1234,20240600,,20240900
2024-03-22 07:00:00,,20240900,1.1224,20240600,,20240900
2024-03-22 08:00:00,,20240900,1.1208,20240600,,20240900
2024-03-22 09:00:00,,20240900,1.1208,20240600,,20240900
2024-03-22 10:00:00,,20240900,1.121,20240600,,20240900
2024-03-22 11:00:00,1.132,20240900,1.1205,20240600,1.132,20240900
2024-03-22 12:00:00,,20240900,1.1235,20240600,,20240900
2024-03-22 13:00:00,,20240900,1.1248,20240600,,20240900
2024-03-22 14:00:00,,20240900,1.1238,20240600,,20240900
2024-03-22 15:00:00,,20240900,1.1238,20240600,,20240900
2024-03-22 16:00:00,,20240900,1.123,20240600,,20240900
2024-03-22 17:00:00,,20240900,1.1232,20240600,,20240900
2024-03-22 18:00:00,,20240900,1.1232,20240600,,20240900
2024-03-22 19:00:00,,20240900,1.1241,20240600,,20240900
2024-03-22 20:00:00,,20240900,1.125,20240600,,20240900
2024-03-24 22:00:00,,20240900,1.1251,20240600,,20240900
2024-03-24 23:00:00,1.1359,20240900,1.1246,20240600,1.1359,20240900
2024-03-25 00:00:00,,20240900,1.1238,20240600,,20240900
2024-03-25 01:00:00,,20240900,1.1251,20240600,,20240900
2024-03-25 02:00:00,,20240900,1.1251,20240600,,20240900
2024-03-25 03:00:00,,20240900,1.1246,20240600,,20240900
2024-03-25 05:00:00,1.1342,20240900,1.1229,20240600,1.1342,20240900
