DATETIME,PRICE,FORWARD,CARRY,PRICE_CONTRACT,FORWARD_CONTRACT,CARRY_CONTRACT
2025-09-15 09:00:00,,,102.95,20251100,20251200,20251000
2025-09-15 14:00:00,,105.6,,20251100,20251200,20251000
2025-09-15 23:00:00,103.95,105.4,102.3,20251100,20251200,20251000
2025-09-16 08:00:00,,106.5,,20251100,20251200,20251000
2025-09-16 09:00:00,,108.2,105.5,20251100,20251200,20251000
2025-09-16 10:00:00,107.0,109.0,106.0,20251100,20251200,20251000
2025-09-16 12:00:00,107.35,,,20251100,20251200,20251000
2025-09-16 23:00:00,106.95,108.4,105.5,20251100,20251200,20251000
2025-09-17 08:00:00,,,106.75,20251100,20251200,20251000
2025-09-17 10:00:00,,,107.5,20251100,20251200,20251000
2025-09-17 13:00:00,109.0,,106.5,20251100,20251200,20251000
2025-09-17 23:00:00,108.0,109.45,106.55,20251100,20251200,20251000
2025-09-18 23:00:00,109.35,110.65,107.9,20251100,20251200,20251000
2025-09-19 23:00:00,109.1,110.6,107.5,20251100,20251200,20251000
2025-09-22 23:00:00,107.65,109.05,106.25,20251100,20251200,20251000
2025-09-23 10:00:00,107.25,,,20251100,20251200,20251000
2025-09-23 13:00:00,108.0,,,20251100,20251200,20251000
2025-09-23 23:00:00,107.1,108.6,105.4,20251100,20251200,20251000
2025-09-24 23:00:00,106.45,108.0,104.65,20251100,20251200,20251000
2025-09-25 23:00:00,107.2,108.8,105.05,20251100,20251200,20251000
2025-09-26 14:00:00,109.0,,106.5,20251100,20251200,20251000
2025-09-26 23:00:00,108.75,110.5,106.4,20251100,20251200,20251000
2025-09-29 05:00:00,113.0,,110.0,20251100,20251200,20251000
2025-09-29 09:00:00,109.0,,,20251100,20251200,20251000
2025-09-29 13:00:00,,,107.0,20251100,20251200,20251000
2025-09-29 14:00:00,,,107.0,20251100,20251200,20251000
2025-09-29 15:00:00,109.15,110.6,106.75,20251100,20251200,20251000
2025-09-29 23:00:00,108.75,110.2,106.75,20251100,20251200,20251000
2025-09-30 23:00:00,108.55,110.2,106.2,20251100,20251200,20251000
2025-10-01 23:00:00,107.8,109.7,105.55,20251100,20251200,20251000
2025-10-02 23:00:00,107.5,109.35,104.85,20251100,20251200,20251000
2025-10-03 15:00:00,108.0,,,20251100,20251200,20251000
2025-10-03 23:00:00,108.0,109.85,105.0,20251100,20251200,20251000
2025-10-06 13:00:00,107.4,,,20251100,20251200,20251000
2025-10-06 23:00:00,107.15,108.95,104.75,20251100,20251200,20251000
2025-10-07 14:00:00,106.75,108.5,,20251100,20251200,20251000
2025-10-07 15:00:00,106.5,,,20251100,20251200,20251000
2025-10-07 23:00:00,106.4,108.05,104.8,20251100,20251200,20251000
2025-10-08 07:00:00,106.5,,,20251100,20251200,20251000
2025-10-08 08:00:00,106.4,,,20251100,20251200,20251000
2025-10-08 09:00:00,,108.0,,20251100,20251200,20251000
2025-10-08 13:00:00,106.0,,,20251100,20251200,20251000
2025-10-08 14:00:00,106.0,107.25,,20251100,20251200,20251000
2025-10-08 15:00:00,105.75,,,20251100,20251200,20251000
2025-10-08 23:00:00,105.75,107.25,104.75,20251100,20251200,20251000
